"","continent","country","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","positive_rate","people_fully_vaccinated","people_fully_vaccinated_per_hundred","population","population_density","median_age","aged_65_older","gdp_per_capita","human_development_index","democ","polity2","idv","ape","rpe","rpr"
"161","Africa","Rwanda",99431,1320,7489.238,99.424,0.004,1762683,13.28,13276517,494.869,20.3,2.974,1854.211,0.543,0,-3,NA,NA,NA,NA
"162","North America","Saint Kitts and Nevis",2637,21,49247.376,392.186,0.055,24054,44.92,53546,212.865,NA,NA,24654.385,0.779,NA,NA,NA,NA,NA,NA
"163","North America","Saint Lucia",12433,250,67423.712,1355.741,NA,38023,20.62,184401,293.187,34.9,9.721,12951.839,0.759,NA,NA,NA,NA,NA,NA
"164","North America","Saint Vincent and the Grenadines",4860,63,43677.934,566.195,NA,14950,13.44,111269,281.787,31.8,7.724,10727.146,0.738,NA,NA,NA,NA,NA,NA
"165","Oceania","Samoa",3,NA,14.989,NA,NA,78596,39.27,200144,69.413,22,5.606,6021.557,0.715,NA,NA,NA,NA,NA,NA
"166","Europe","San Marino",5509,92,161981.77,2705.087,NA,NA,NA,34010,556.667,NA,NA,56861.47,NA,NA,NA,NA,NA,NA,NA
"167","Africa","Sao Tome and Principe",3697,56,16551.459,250.712,NA,27883,12.48,223364,212.841,18.7,2.886,3052.714,0.625,NA,NA,NA,NA,NA,NA
"168","Asia","Saudi Arabia",548303,8780,15514.784,248.439,0.001,21244469,60.11,35340680,15.322,31.9,3.295,49045.411,0.854,0,-10,NA,NA,NA,NA
"169","Africa","Senegal",73896,1878,4297.201,109.209,0.003,879073,5.11,17196308,82.328,18.7,3.008,2470.58,0.512,7,7,NA,NA,NA,NA
"170","Europe","Serbia",1104117,9571,159826.462,1385.45,0.307,2983451,43.19,6908224,80.291,41.2,17.366,14048.881,0.806,9,8,25,NA,NA,NA
"171","Africa","Seychelles",22135,119,223789.303,1203.114,NA,76188,77.03,98910,208.354,36.2,8.606,26382.287,0.796,NA,NA,NA,NA,NA,NA
"172","Africa","Sierra Leone",6397,121,785.743,14.862,NA,110744,1.36,8141343,104.7,19.1,2.538,1390.3,0.452,8,7,NA,NA,NA,NA
"173","Asia","Singapore",175818,329,29816.419,55.794,0.093,4695624,79.63,5896684,7915.731,42.4,12.922,85535.383,0.938,2,-2,20,NA,NA,NA
"174","North America","Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,24190,55.71,43421,1209.088,NA,NA,36327.232,NA,NA,NA,NA,NA,NA,NA
"175","Europe","Slovakia",457431,12917,83767.433,2365.436,0.097,2294490,42.02,5460726,113.128,41.2,15.07,30155.152,0.86,10,10,52,NA,NA,NA
"176","Europe","Slovenia",320620,4693,154238.925,2257.636,0.299,1113046,53.54,2078723,102.619,44.5,19.062,31400.84,0.917,10,10,27,0.663387823104858,1.19368033409119,1.04917664527893
"177","Oceania","Solomon Islands",20,NA,28.409,NA,NA,31054,4.41,703995,21.841,20.8,3.507,2205.923,0.567,9,8,NA,NA,NA,NA
"178","Africa","Somalia",21998,1208,1344.662,73.841,NA,285192,1.74,16359500,23.5,16.8,2.731,NA,NA,5,5,NA,NA,NA,NA
"179","Africa","South Africa",2919778,88934,48628.93,1481.197,0.016,11546163,19.23,60041996,46.754,27.3,5.344,12294.876,0.709,9,9,NA,NA,NA,NA
"180","Asia","South Korea",354355,2788,6906.807,54.341,0.036,36424121,71,51305184,527.967,43.4,13.914,35938.374,0.916,8,8,18,0.713659477233887,0.827645313739777,1.07145118713379
"181","Africa","South Sudan",12293,133,1080.098,11.686,NA,42361,0.37,11381377,NA,19.2,3.441,1569.888,0.433,NA,0,NA,NA,NA,NA
